id,name,public_actions,mitigations,public_notices,detections,gaps,mit_names,pub_action_samples,det_names,pub_notice_samples
SAFE-T-0072,Stalkerware Installation,5,5,6,5,OK,Anti-Stalkerware Scanning | Device Access Controls | Safe Device Acquisition | Operating System Hardening | Forensic Device Audit,Use a stalkerware detection app to check your phone | Keep your phone locked with a PIN or biometric | Consider getting a separate safe phone | Keep your phone's software up to date | Get a professional to examine your device,Anomalous Battery Consumption | Unexplained Data Usage | Device Temperature Anomalies | Information Leakage Indicators | Unknown Applications or Profiles,Your device seems fine — but that's not proof | Your phone battery is draining much faster than usual | You're using more mobile data than expected | Your phone feels warm even when you're not using it | The other person seems to know things they shouldn't | You notice unfamiliar apps or settings on
SAFE-T-0073,Physical Tracker Planting,4,4,4,4,OK,Bluetooth Tracker Detection | Physical Vehicle Inspection | Belongings Audit | Evidence Preservation Protocol,Enable unknown tracker alerts on your phone | Check your car systematically | Check your everyday bags and belongings | Document before removing,Platform Tracker Alerts | Location Knowledge Indicators | Physical Device Discovery | Audible Tracker Indicators,Your phone alerts you about an unknown tracker travelling with you | The other person always seems to know where you are | You find a small unfamiliar device in your things | You hear periodic beeping from your bag or car
SAFE-T-0074,Shared Account Surveillance,3,3,3,3,OK,Location Sharing Audit | Account Separation | Carrier Account Review,Review all location sharing settings on your devices | Gradually move to your own individual accounts | Check your phone plan,Shared Account Data References | Active Location Sharing Discovery | Unknown Devices on Shared Accounts,"The other person knows about purchases, locations, or content you haven't shared | You discover location sharing is turned on with their account | Unfamiliar devices appear in your account's trusted devices list"
SAFE-T-0075,Social Media Monitoring,4,4,3,3,OK,Privacy Configuration Hardening | Connection Audit | Information Disclosure Controls | Tag and Mention Restrictions,Tighten your privacy settings on every platform | Review and clean up your followers and connections | Stop posting real-time locations or future plans | Turn off tagging or require approval for tags,Non-Public Activity Knowledge | Suspicious Account Patterns | Third-Party Monitoring Reports,The other person comments on things you posted but didn't tell them about | You notice unfamiliar accounts following you or viewing your stories | Friends mention the other person asking about your posts
SAFE-T-0076,Communication Interception,4,4,4,4,OK,Email Rule Audit | Linked Device Review | Encrypted Communications | Voicemail Security,Check active sessions on all your accounts | Check for email forwarding rules | Use end-to-end encrypted messaging for sensitive conversations | Change passwords from a safe device,Read Receipt Anomalies | Unauthorised Forwarding Rules | Unknown Linked Devices | Communication Content Knowledge,Messages show as 'read' before you've opened them | The other person responds to things said in private conversations | Email forwarding rules you didn't set up | Unfamiliar devices in your account's active sessions
SAFE-T-0077,Smart Home Surveillance,4,3,4,3,OK,Smart Home Account Takeover | Recording Device Audit | Voice Assistant Hardening,Check which accounts control your smart home devices | Physically disconnect devices you're concerned about | Change Wi-Fi passwords | Do a factory reset on devices you want to keep,In-Home Activity Knowledge | Device Behaviour Anomalies | Unauthorised Device Access,Smart home devices behave unexpectedly | The other person knows what's happening inside the home | You can't control devices or change settings | Indicator lights on cameras or devices activate at odd times
SAFE-T-0078,Network Traffic Monitoring,3,3,3,3,OK,Router Credential Reset | Traffic Encryption | Network Bypass,Use your mobile data for sensitive browsing | Use a VPN on your devices | Check your router's settings,Browsing Activity Knowledge | Unauthorised Network Controls | Network Monitoring Tools Present,The other person knows what you've been searching or browsing | Unfamiliar software on the router or network | Your internet seems slower than expected
SAFE-T-0079,Calendar/Schedule Surveillance,3,3,3,3,OK,Calendar Sharing Audit | Sensitive Appointment Isolation | Medical Portal Security,Review calendar sharing settings | Keep a separate private calendar | Check which apps have access to your calendar,Appointment Interception | Schedule Knowledge Indicators | Active Calendar Sharing,The other person shows up at events or appointments they shouldn't know about | They reference your schedule without you telling them | Your calendar is shared with accounts you don't recognise
SAFE-T-0080,Third-Party Monitoring Recruitment,3,3,3,3,OK,Information Compartmentalisation | Network Trust Assessment | Canary Information Testing,Be thoughtful about what you share and with whom | Create an inner circle of trusted people | Have a conversation with people you suspect are reporting back,Source-Specific Information Leakage | Unusual Contact Questioning | Recruitment Attempt Reports,Information you only shared with specific people gets back to the other person | Mutual contacts ask unusually detailed questions | You notice people watching or checking on you
SAFE-T-0081,Fitness/Health Tracker Surveillance,3,3,3,3,OK,Health Account Separation | Fitness App Privacy Settings | Wearable Device Reset,Review sharing settings on fitness and health apps | Remove exercise routes from public or shared view | Check who has access to your health data,Health Data Knowledge | Active Health Data Sharing | Wearable Account Linkage,The other person knows about your exercise routes or activity patterns | Health or fitness data is being shared with their account | Your wearable shows locations or activity you didn't do
