technique_id,type,item_id,item_name,item_description
TFA-T-1001,mitigation,TFA-M-1001,Anti-Stalkerware Scanning,"Deploy anti-stalkerware detection tools to identify monitoring applications. Scan for apps with excessive permissions including location, microphone, camera, and message access."
TFA-T-1001,mitigation,TFA-M-1002,Device Access Controls,Implement strong device authentication. Disable installation from unknown sources. Maintain physical control of devices.
TFA-T-1001,mitigation,TFA-M-1003,Safe Device Acquisition,Obtain a separate device for sensitive communications if stalkerware is suspected. Removing stalkerware may alert the monitoring party.
TFA-T-1001,mitigation,TFA-M-1004,Operating System Hardening,Maintain current OS versions. Security updates frequently patch vulnerabilities exploited by stalkerware.
TFA-T-1001,mitigation,TFA-M-1005,Forensic Device Audit,Engage professional forensic analysis to identify monitoring software and preserve evidence.
TFA-T-1001,detection,TFA-D-1001,Anomalous Battery Consumption,Device battery depletes faster than baseline due to continuous background data transmission.
TFA-T-1001,detection,TFA-D-1002,Unexplained Data Usage,Increased mobile data consumption without corresponding user activity. Monitor per-app data usage for unknown processes.
TFA-T-1001,detection,TFA-D-1003,Device Temperature Anomalies,Device runs hot during idle periods indicating background process activity.
TFA-T-1001,detection,TFA-D-1004,Information Leakage Indicators,"Adversary demonstrates knowledge of private communications, locations, or activities accessible only through device monitoring."
TFA-T-1001,detection,TFA-D-1005,Unknown Applications or Profiles,"Presence of unrecognised apps, device administrator privileges, or configuration profiles."
TFA-T-1002,mitigation,TFA-M-1006,Bluetooth Tracker Detection,Use tracker detection applications to scan for nearby Bluetooth tracking devices. Enable platform-native unknown tracker alerts.
TFA-T-1002,mitigation,TFA-M-1007,Physical Vehicle Inspection,Conduct systematic inspection of vehicles for GPS tracking devices in common concealment locations.
TFA-T-1002,mitigation,TFA-M-1008,Belongings Audit,"Inspect bags, clothing, and frequently carried items for concealed tracking devices."
TFA-T-1002,mitigation,TFA-M-1009,Evidence Preservation Protocol,"If tracker discovered, document location and preserve for evidence before removal. Removal alerts monitoring party."
TFA-T-1002,detection,TFA-D-1006,Platform Tracker Alerts,Device displays alerts for unknown tracking devices travelling with user.
TFA-T-1002,detection,TFA-D-1007,Location Knowledge Indicators,"Adversary references specific locations, routes, or timing not disclosed by target."
TFA-T-1002,detection,TFA-D-1008,Physical Device Discovery,Small electronic device found attached to vehicle or concealed in belongings.
TFA-T-1002,detection,TFA-D-1009,Audible Tracker Indicators,Periodic beeping from unknown source in belongings or vehicle.
TFA-T-1003,mitigation,TFA-M-1010,Location Sharing Audit,Review all location sharing configurations across devices and services. Disable unauthorised sharing.
TFA-T-1003,mitigation,TFA-M-1011,Account Separation,Migrate to individual accounts for services previously shared. Use new credentials unknown to adversary.
TFA-T-1003,mitigation,TFA-M-1012,Carrier Account Review,Assess family phone plan features that expose location or usage data. Plan migration to individual account.
TFA-T-1003,detection,TFA-D-1010,Shared Account Data References,"Adversary references location, purchases, or activities visible through shared account access."
TFA-T-1003,detection,TFA-D-1011,Active Location Sharing Discovery,Audit reveals location sharing enabled with adversary's account.
TFA-T-1003,detection,TFA-D-1012,Unknown Devices on Shared Accounts,Unrecognised devices listed in shared account trusted device lists.
TFA-T-1004,mitigation,TFA-M-1013,Privacy Configuration Hardening,"Configure maximum privacy settings on all social media platforms. Restrict visibility of posts, connections, and activity."
TFA-T-1004,mitigation,TFA-M-1014,Connection Audit,Review all followers and connections for adversary-controlled accounts. Remove suspicious connections.
TFA-T-1004,mitigation,TFA-M-1015,Information Disclosure Controls,"Avoid posting real-time locations, routines, or future plans. Delay posting until after events conclude."
TFA-T-1004,mitigation,TFA-M-1016,Tag and Mention Restrictions,Disable or require approval for tags and mentions to prevent third-party location disclosure.
TFA-T-1004,detection,TFA-D-1013,Non-Public Activity Knowledge,Adversary references social media activity that should not be visible given current privacy settings.
TFA-T-1004,detection,TFA-D-1014,Suspicious Account Patterns,New follower accounts created recently with minimal activity or connections to adversary's network.
TFA-T-1004,detection,TFA-D-1015,Third-Party Monitoring Reports,Contacts report adversary has shown them target's social media content or asked about online activity.
TFA-T-1005,mitigation,TFA-M-1017,Email Rule Audit,Check email settings for unauthorised forwarding rules and filters. Remove rules forwarding to unknown addresses.
TFA-T-1005,mitigation,TFA-M-1018,Linked Device Review,Review and remove unrecognised devices linked to messaging accounts.
TFA-T-1005,mitigation,TFA-M-1019,Encrypted Communications,Use end-to-end encrypted messaging for sensitive communications. Ensure adversary cannot access linked devices.
TFA-T-1005,mitigation,TFA-M-1020,Voicemail Security,Change voicemail PIN. Disable remote voicemail access where possible.
TFA-T-1005,detection,TFA-D-1016,Read Receipt Anomalies,Messages marked as read before target has viewed them. Account shows online status during non-use periods.
TFA-T-1005,detection,TFA-D-1017,Unauthorised Forwarding Rules,Email settings contain forwarding rules to unknown addresses or filters moving messages automatically.
TFA-T-1005,detection,TFA-D-1018,Unknown Linked Devices,Messaging app settings show unrecognised devices with active sessions.
TFA-T-1005,detection,TFA-D-1019,Communication Content Knowledge,Adversary quotes or references private message content.
TFA-T-1006,mitigation,TFA-M-1021,Smart Home Account Takeover,Transfer device ownership to sole-controlled account. Factory reset devices and reconfigure with new credentials.
TFA-T-1006,mitigation,TFA-M-1022,Recording Device Audit,"Identify all cameras, microphones, and recording-capable devices. Disable or remove devices that cannot be secured."
TFA-T-1006,mitigation,TFA-M-1023,Voice Assistant Hardening,"Disable remote access features, drop-in capabilities, and voice purchasing. Delete stored recordings."
